DATE,WPU0711
1947-01-01,34.0000000000000000
1947-04-01,30.3333333333333333
1947-07-01,26.5333333333333333
1947-10-01,30.8666666666666667
1948-01-01,30.1666666666666667
1948-04-01,31.0666666666666667
1948-07-01,31.4333333333333333
1948-10-01,29.5000000000000000
1949-01-01,28.7000000000000000
1949-04-01,27.5666666666666667
1949-07-01,26.9666666666666667
1949-10-01,27.4333333333333333
1950-01-01,29.6000000000000000
1950-04-01,35.5000000000000000
1950-07-01,51.7666666666666667
1950-10-01,69.1000000000000000
1951-01-01,70.8666666666666667
1951-04-01,67.2333333333333333
1951-07-01,57.7666666666666667
1951-10-01,58.3000000000000000
1952-01-01,56.9666666666666667
1952-04-01,51.0333333333333333
1952-07-01,39.7000000000000000
1952-10-01,38.8333333333333333
1953-01-01,38.5333333333333333
1953-04-01,36.3333333333333333
1953-07-01,35.5666666666666667
1953-10-01,33.2666666666666667
1954-01-01,33.5000000000000000
1954-04-01,35.2000000000000000
1954-07-01,37.0000000000000000
1954-10-01,39.7666666666666667
1955-01-01,43.3333333333333333
1955-04-01,42.9333333333333333
1955-07-01,49.8000000000000000
1955-10-01,49.2333333333333333
1956-01-01,45.6000000000000000
1956-04-01,41.4666666666666667
1956-07-01,42.9333333333333333
1956-10-01,43.3000000000000000
1957-01-01,42.1333333333333333
1957-04-01,42.6666666666666667
1957-07-01,42.2666666666666667
1957-10-01,39.9333333333333333
1958-01-01,39.0333333333333333
1958-04-01,38.2666666666666667
1958-07-01,39.7000000000000000
1958-10-01,41.4000000000000000
1959-01-01,41.4333333333333333
1959-04-01,44.1333333333333333
1959-07-01,45.4333333333333333
1959-10-01,48.6333333333333333
1960-01-01,47.7333333333333333
1960-04-01,49.2333333333333333
1960-07-01,45.2666666666666667
1960-10-01,41.6666666666666667
1961-01-01,40.3666666666666667
1961-04-01,41.0000000000000000
1961-07-01,40.6666666666666667
1961-10-01,40.0000000000000000
1962-01-01,39.7666666666666667
1962-04-01,39.6000000000000000
1962-07-01,38.8000000000000000
1962-10-01,39.3000000000000000
1963-01-01,39.3333333333333333
1963-04-01,38.9666666666666667
1963-07-01,38.0333333333333333
1963-10-01,38.2666666666666667
1964-01-01,37.8666666666666667
1964-04-01,38.2333333333333333
1964-07-01,37.9000000000000000
1964-10-01,38.4000000000000000
1965-01-01,38.1666666666666667
1965-04-01,38.3333333333333333
1965-07-01,37.3666666666666667
1965-10-01,37.6000000000000000
1966-01-01,38.2000000000000000
1966-04-01,37.8000000000000000
1966-07-01,37.3000000000000000
1966-10-01,36.9000000000000000
1967-01-01,36.6333333333333333
1967-04-01,36.1333333333333333
1967-07-01,35.5000000000000000
1967-10-01,35.1000000000000000
1968-01-01,34.8666666666666667
1968-04-01,35.4000000000000000
1968-07-01,35.8333333333333333
1968-10-01,36.3666666666666667
1969-01-01,36.8666666666666667
1969-04-01,37.7666666666666667
1969-07-01,38.4333333333333333
1969-10-01,37.4333333333333333
1970-01-01,37.3666666666666667
1970-04-01,36.6333333333333333
1970-07-01,36.0666666666666667
1970-10-01,35.7000000000000000
1971-01-01,35.5666666666666667
1971-04-01,35.8000000000000000
1971-07-01,35.5666666666666667
1971-10-01,35.3666666666666667
1972-01-01,35.4333333333333333
1972-04-01,35.2666666666666667
1972-07-01,35.4000000000000000
1972-10-01,36.0333333333333333
1973-01-01,37.6000000000000000
1973-04-01,39.4333333333333333
1973-07-01,41.5000000000000000
1973-10-01,41.9666666666666667
1974-01-01,46.0666666666666667
1974-04-01,50.5333333333333333
1974-07-01,51.5333333333333333
1974-10-01,51.7333333333333333
1975-01-01,52.1333333333333333
1975-04-01,51.7666666666666667
1975-07-01,52.0000000000000000
1975-10-01,52.9000000000000000
1976-01-01,56.0666666666666667
1976-04-01,57.9333333333333333
1976-07-01,58.1000000000000000
1976-10-01,58.8000000000000000
1977-01-01,59.2666666666666667
1977-04-01,61.0000000000000000
1977-07-01,62.3666666666666667
1977-10-01,63.6000000000000000
1978-01-01,64.7000000000000000
1978-04-01,65.6666666666666667
1978-07-01,67.7666666666666667
1978-10-01,70.3000000000000000
1979-01-01,72.1666666666666667
1979-04-01,77.4333333333333333
1979-07-01,82.6000000000000000
1979-10-01,85.3333333333333333
1980-01-01,92.3000000000000000
1980-04-01,94.7333333333333333
1980-07-01,95.0000000000000000
1980-10-01,96.9666666666666667
1981-01-01,100.6666666666666667
1981-04-01,101.3666666666666667
1981-07-01,101.8333333333333333
1981-10-01,100.3333333333333333
1982-01-01,101.2666666666666667
1982-04-01,101.5333333333333333
1982-07-01,99.8666666666666667
1982-10-01,97.3333333333333333
1983-01-01,98.8000000000000000
1983-04-01,100.6333333333333333
1983-07-01,101.8333333333333333
1983-10-01,101.5000000000000000
1984-01-01,101.4333333333333333
1984-04-01,100.0666666666666667
1984-07-01,98.3000000000000000
1984-10-01,97.2666666666666667
1985-01-01,97.9333333333333333
1985-04-01,96.6000000000000000
1985-07-01,97.1333333333333333
1985-10-01,96.3333333333333333
1986-01-01,95.6000000000000000
1986-04-01,93.0333333333333333
1986-07-01,89.1000000000000000
1986-10-01,87.1000000000000000
1987-01-01,88.2666666666666667
1987-04-01,95.7000000000000000
1987-07-01,101.1666666666666667
1987-10-01,105.5333333333333333
1988-01-01,107.6333333333333333
1988-04-01,106.2333333333333333
1988-07-01,109.7666666666666667
1988-10-01,109.3666666666666667
1989-01-01,109.4000000000000000
1989-04-01,108.2666666666666667
1989-07-01,106.7333333333333333
1989-10-01,107.1333333333333333
1990-01-01,110.6666666666666667
1990-04-01,111.1333333333333333
